Model,MAE,RMSE,MAPE,R2
XGBoost,944.6091864224138,1300.1940129234515,6.428449665074329,0.5119425157085197
Ensemble,944.6091864224138,1300.1940129234515,6.428449665074329,0.5119425157085197
SVR,8320.520422473177,8541.571383067307,57.62006625000766,-20.063483780010554
